feature,importance_gain
alt_depth,1211541761269.6003
ci_width,1132734528631.3
nref,1121901609381.0586
ref_len,735985058410.7557
vaf,669076775119.4456
sbp,647506557621.3535
conf,610787973805.0167
dataset_type,274405853547.258
alt_len,41239556657.760056
nalt,34970406224.38701
variant_class,19150398311.539845
mode,2162.599696396799
duplex_frac,0.0
nsimalt,0.0
ndupalt,0.0
has_duplex,0.0
