auroc,auprc,precision,recall,f1,n_pos,n_total,model,fold
0.9963301219907429,0.9998183896033959,0.9984292904034693,0.9960328135567061,0.9972296122181424,1866058,1950110,lightgbm_v3,0
0.9950988691871161,0.9997706472551481,0.9978465443196713,0.9963494318485728,0.9970974261168486,1869572,1950110,lightgbm_v3,1
0.9939150161352626,0.9996911722828321,0.9977960686891926,0.9964529289078786,0.997124046491809,1864637,1950109,lightgbm_v3,2
0.9910722772016033,0.9993633764728391,0.9984878341329678,0.9971481725684468,0.997817553696286,1870029,1950109,lightgbm_v3,3
0.9985855525077184,0.9999327438363456,0.9995132159714591,0.9954643842323674,0.9974846915248421,1868765,1950108,lightgbm_v3,4
0.9963276341476909,0.9998180082138711,0.9984303250043214,0.9966903493889258,0.9975595784667931,1866058,1950110,xgboost_v3,0
0.9953562012048491,0.9997820889815978,0.9978459373682177,0.9960680840320673,0.9969562180976403,1869572,1950110,xgboost_v3,1
0.9933289909407736,0.9996614169169646,0.9977972113404415,0.9964851067526816,0.9971407274079631,1864637,1950109,xgboost_v3,2
0.9902598530529502,0.9992427580906447,0.9984868059012426,0.9964695734665078,0.9974771698052608,1870029,1950109,xgboost_v3,3
0.9985974105941487,0.9999333584810584,0.9995144277794579,0.9957469237705115,0.9976271188258045,1868765,1950108,xgboost_v3,4
