precision,recall,f1,auprc,auroc,model,fold,config
0.46691176470588236,0.9384236453201971,0.6235679214402619,0.8721848292484999,0.9907117193252905,lightgbm,0,lightgbm_raw
0.534923339011925,0.9048991354466859,0.6723768736616702,0.7925860889479598,0.991302204546305,lightgbm,1,lightgbm_raw
0.46055979643765904,0.8765133171912833,0.603836530442035,0.8157093763512816,0.9870976786705643,lightgbm,2,lightgbm_raw
0.3808499193114578,0.910025706940874,0.5369738339021616,0.8080918331516528,0.9886428353341017,lightgbm,3,lightgbm_raw
0.4527027027027027,0.903370786516854,0.6031507876969242,0.8333505009125569,0.9912945080878162,lightgbm,4,lightgbm_raw
0.9006928406466512,0.9605911330049262,0.929678188319428,0.9823680341143248,0.9995833480410983,lightgbm,0,lightgbm_v2
0.8967391304347826,0.9510086455331412,0.9230769230769231,0.9761771012989203,0.9995346301204242,lightgbm,1,lightgbm_v2
0.9300699300699301,0.9661016949152542,0.9477434679334917,0.978606769430837,0.9994828097029271,lightgbm,2,lightgbm_v2
0.9336609336609336,0.9768637532133676,0.9547738693467337,0.990781036679614,0.9997904720182461,lightgbm,3,lightgbm_v2
0.9327548806941431,0.9662921348314607,0.9492273730684326,0.97707802457773,0.9993392371394604,lightgbm,4,lightgbm_v2
0.46987951807228917,0.9605911330049262,0.6310679611650486,0.8752669742994909,0.9963448234661769,xgboost,0,xgboost_raw
0.5525423728813559,0.9394812680115274,0.695837780149413,0.7984901122768266,0.9944165221792982,xgboost,1,xgboost_raw
0.4535017221584386,0.9564164648910412,0.6152647975077882,0.8486596334083285,0.9975833907372831,xgboost,2,xgboost_raw
0.36213592233009706,0.9588688946015425,0.525722339675828,0.8503497770548226,0.996525539463742,xgboost,3,xgboost_raw
0.3377742946708464,0.9685393258426966,0.5008715862870424,0.862209228206113,0.9958541340092402,xgboost,4,xgboost_raw
0.9,0.9753694581280788,0.9361702127659575,0.9892826646747949,0.9996626864578064,xgboost,0,xgboost_v2
0.8682170542635659,0.968299711815562,0.9155313351498637,0.9830896465482266,0.99979274194943,xgboost,1,xgboost_v2
0.9325581395348838,0.9709443099273608,0.9513641755634639,0.9901613522269536,0.9997746075973746,xgboost,2,xgboost_v2
0.9336609336609336,0.9768637532133676,0.9547738693467337,0.9920975432373135,0.9998895202891356,xgboost,3,xgboost_v2
0.8977035490605428,0.9662921348314607,0.9307359307359307,0.9792124255589645,0.9995752284140103,xgboost,4,xgboost_v2
0.22169249106078665,0.916256157635468,0.3570057581573896,0.20350963107464884,0.9507477130770978,baseline_pass,0,baseline_pass
0.1982406534715677,0.909221902017291,0.3255094144957441,0.18059932998522676,0.9474010153104232,baseline_pass,1,baseline_pass
0.22502250225022502,0.9079903147699758,0.36066362106275546,0.20474619021467083,0.9466890534080687,baseline_pass,2,baseline_pass
0.22434064188115665,0.9074550128534704,0.3597452229299363,0.20398408512308389,0.946831246962389,baseline_pass,3,baseline_pass
0.25206991720331184,0.9235955056179775,0.3960491447843893,0.23319326698338924,0.9549012985874199,baseline_pass,4,baseline_pass
