auroc,auprc,precision,recall,f1,n_pos,n_total,model,fold
0.9960020439076345,0.91587413713195,0.25669546436285096,0.9451292246520875,0.40373673036093416,5030,970331,lightgbm_v2b,0
0.9962659272919032,0.923787591152981,0.22644117782590664,0.9536192509217931,0.3659789975422656,5153,970331,lightgbm_v2b,1
0.9955257417960734,0.9242860468250581,0.217613764998868,0.9483030781373323,0.353994033808419,5068,970332,lightgbm_v2b,2
0.9960867163622701,0.9182812492178644,0.22164182464988516,0.941469013006886,0.3588117368325132,5228,970330,lightgbm_v2b,3
0.9953745811479726,0.9144070372452735,0.26449655172413794,0.9418467583497053,0.4130088304975231,5090,970330,lightgbm_v2b,4
0.9960706346742312,0.9165032074753926,0.280936059567427,0.9451292246520875,0.4331268221574344,5030,970331,xgboost_v2b,0
0.9965574644099247,0.9259851484446924,0.23945856461193885,0.9543954977682904,0.3828578101280604,5153,970331,xgboost_v2b,1
0.9956544422072743,0.9246969904392185,0.22753980288097042,0.9475138121546961,0.3669570533394467,5068,970332,xgboost_v2b,2
0.9962617932973811,0.9184487111469002,0.20993630573248406,0.9456771231828616,0.3435958023490166,5228,970330,xgboost_v2b,3
0.9957793951140463,0.9135321571426567,0.2721227621483376,0.9406679764243615,0.42212916023804276,5090,970330,xgboost_v2b,4
