sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17324	5034	422	4	0	1463.0	1215.4	1215.5	0.0	1215.6	109.7	89.6	109.7	0.0	99.7	1463.0	23.3	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	17765	5588	466	4	0	1557.8	1286.8	1286.9	0.0	1287.2	109.8	99.6	109.8	0.0	109.7	1557.8	24.4	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	21	21	0	354	0	0.056	1.0	0.0	0.0	0.0	0.944	0.1061	17	4	188	0.0829	0.8095	0.0	1.0	4	17	166	0.0235	0.1905	0.0	1.0	16679	4703	419	4	0	1468.3	1199.7	1199.7	0.0	1199.8	109.8	99.7	109.7	0.0	99.8	1468.3	22.3	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	105	105	0	270	0	0.28	1.0	0.0	0.0	0.0	0.72	0.4375	78	27	127	0.3805	0.7429	0.0	1.0	27	78	143	0.1588	0.2571	0.0	1.0	17992	6495	503	3	0	1546.3	1296.1	1296.2	0.0	1296.2	109.7	109.7	109.8	0.0	99.7	1546.3	25.6	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	154	154	0	221	0	0.4107	1.0	0.0	0.0	0.0	0.5893	0.5822	109	45	96	0.5317	0.7078	0.0	1.0	45	109	125	0.2647	0.2922	0.0	1.0	16726	4894	484	3	0	1433.9	1198.4	1198.5	0.0	1198.6	109.8	99.7	109.7	0.0	99.8	1433.9	22.7	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16596	5170	451	4	0	1470.6	1201.0	1201.1	0.0	1201.2	109.8	99.7	109.7	0.0	99.7	1470.6	22.8	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	216	216	0	159	0	0.576	1.0	0.0	0.0	0.0	0.424	0.731	154	62	51	0.7512	0.713	0.0	1.0	62	154	108	0.3647	0.287	0.0	1.0	17148	5360	555	3	0	1450.7	0.0	1223.5	0.0	1223.5	109.8	0.0	109.7	0.0	99.7	1450.7	23.7	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	238	238	0	137	0	0.6347	1.0	0.0	0.0	0.0	0.3653	0.7765	168	70	37	0.8195	0.7059	0.0	1.0	70	168	100	0.4118	0.2941	0.0	1.0	18645	6333	613	3	0	1553.5	1318.7	1318.8	0.0	1318.9	109.7	109.6	109.7	0.0	99.7	1553.5	26.2	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	18081	5624	522	4	0	1466.5	1218.1	1218.2	0.0	1218.3	109.8	99.7	109.8	0.0	99.7	1466.5	24.8	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	20480	7495	649	4	0	1635.9	1370.5	1502.6	0.0	1502.7	109.8	109.5	109.7	0.0	99.8	1635.9	29.3	0
