sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17373	5236	391	4	0	1486.8	1215.4	1215.5	0.0	1215.6	109.8	109.7	99.8	0.0	99.7	1486.8	23.5	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	17626	5481	419	4	0	1537.0	1286.9	1286.9	0.0	1287.1	109.7	109.7	109.7	0.0	99.7	1537.0	24.1	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	21	21	0	354	0	0.056	1.0	0.0	0.0	0.0	0.944	0.1061	17	4	188	0.0829	0.8095	0.0	1.0	4	17	166	0.0235	0.1905	0.0	1.0	16511	4945	382	4	0	1428.7	1199.7	1199.7	0.0	1199.8	109.8	109.7	99.8	0.0	109.7	1428.7	22.4	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	105	105	0	270	0	0.28	1.0	0.0	0.0	0.0	0.72	0.4375	78	27	127	0.3805	0.7429	0.0	1.0	27	78	143	0.1588	0.2571	0.0	1.0	17891	6787	458	3	0	1544.1	1296.1	1296.1	0.0	1296.3	109.8	109.7	99.8	0.0	99.8	1544.1	25.7	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	154	154	0	221	0	0.4107	1.0	0.0	0.0	0.0	0.5893	0.5822	109	45	96	0.5317	0.7078	0.0	1.0	45	109	125	0.2647	0.2922	0.0	1.0	16517	4991	469	3	0	1422.6	1198.4	1198.5	0.0	1198.7	109.8	109.7	99.8	0.0	99.8	1422.6	22.5	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16787	5404	422	4	0	1468.3	1201.2	1201.3	0.0	1201.3	109.8	109.7	109.7	0.0	99.8	1468.3	23.2	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	216	216	0	159	0	0.576	1.0	0.0	0.0	0.0	0.424	0.731	154	62	51	0.7512	0.713	0.0	1.0	62	154	108	0.3647	0.287	0.0	1.0	17165	5505	494	3	0	1484.6	1223.5	1223.5	0.0	1223.6	109.7	109.7	99.7	0.0	109.7	1484.6	23.7	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	238	238	0	137	0	0.6347	1.0	0.0	0.0	0.0	0.3653	0.7765	168	70	37	0.8195	0.7059	0.0	1.0	70	168	100	0.4118	0.2941	0.0	1.0	18500	6863	560	3	0	1569.7	1318.8	1318.9	0.0	1319.0	109.8	109.7	99.7	0.0	109.7	1569.7	26.5	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	17925	5891	487	4	0	1457.9	1218.2	1218.2	0.0	1218.3	109.8	109.7	99.7	0.0	99.7	1457.9	24.9	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	20249	7804	572	4	0	1610.2	1370.5	1502.6	0.0	1502.6	109.8	109.8	99.8	0.0	99.8	1610.2	29.2	0
