sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	306372	28395	9.268	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	17176	4754	405	4	0	1462.9	1215.4	1215.4	0.0	1215.5	109.7	99.7	109.7	0.0	109.7	1462.9	22.9	0
Sample_15ng_VAF_0p01pc	15ng	0.01	337279	42385	12.567	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	17548	5079	413	4	0	1537.6	0.0	1286.9	0.0	1287.0	109.8	0.0	109.7	0.0	99.8	1537.6	23.6	0
Sample_15ng_VAF_0p1pc	15ng	0.1	288906	33012	11.427	21	21	0	354	0	0.056	1.0	0.0	0.0	0.0	0.944	0.1061	17	4	188	0.0829	0.8095	0.0	1.0	4	17	166	0.0235	0.1905	0.0	1.0	16543	4208	392	4	0	1448.2	0.0	1199.7	0.0	1199.8	109.8	0.0	109.8	0.0	109.8	1448.2	21.6	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345572	41957	12.141	105	105	0	270	0	0.28	1.0	0.0	0.0	0.0	0.72	0.4375	78	27	127	0.3805	0.7429	0.0	1.0	27	78	143	0.1588	0.2571	0.0	1.0	17938	5711	438	3	0	1573.2	1296.0	1296.1	0.0	1296.2	109.8	89.7	109.7	0.0	99.8	1573.2	24.7	0
Sample_15ng_VAF_0p5pc	15ng	0.5	290159	30299	10.442	154	154	0	221	0	0.4107	1.0	0.0	0.0	0.0	0.5893	0.5822	109	45	96	0.5317	0.7078	0.0	1.0	45	109	125	0.2647	0.2922	0.0	1.0	16534	4567	472	3	0	1468.0	1198.4	1198.6	0.0	1198.6	109.8	109.7	99.8	0.0	109.7	1468.0	22.1	0
Sample_15ng_VAF_0pc	15ng	0.0	292663	30450	10.404	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	16642	4293	403	4	0	1466.6	0.0	1201.1	0.0	1201.3	109.8	0.0	109.7	0.0	99.8	1466.6	21.9	0
Sample_15ng_VAF_1pc	15ng	1.0	306675	32548	10.613	216	216	0	159	0	0.576	1.0	0.0	0.0	0.0	0.424	0.731	154	62	51	0.7512	0.713	0.0	1.0	62	154	108	0.3647	0.287	0.0	1.0	17237	4983	489	3	0	1489.3	1223.2	1223.3	0.0	1223.4	109.8	99.8	99.8	0.0	109.7	1489.3	23.3	0
Sample_15ng_VAF_2pc	15ng	2.0	354483	47149	13.301	238	238	0	137	0	0.6347	1.0	0.0	0.0	0.0	0.3653	0.7765	168	70	37	0.8195	0.7059	0.0	1.0	70	168	100	0.4118	0.2941	0.0	1.0	18534	5546	488	3	0	1560.7	1318.8	1318.8	0.0	1319.0	109.8	99.7	109.7	0.0	99.7	1560.7	25.2	0
Sample_30ng_VAF_0p001pc	30ng	0.001	327558	16470	5.028	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	17935	5905	479	4	0	1444.1	1218.1	1218.2	0.0	1218.3	109.8	89.7	109.7	0.0	99.7	1444.1	24.9	0
Sample_30ng_VAF_0p01pc	30ng	0.01	418228	30342	7.255	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	20362	7207	599	4	0	1658.4	1370.6	1502.7	0.0	1502.8	109.7	99.7	109.8	0.0	99.8	1658.4	28.8	0
