sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349269	34947	10.006	51	0	51	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	51	205	0.0	0.0	0.0	1.0	0	51	170	0.0	0.0	0.0	1.0	11057	4954	1559	2	2	1923.1	1646.9	1646.9	0.0	1647.0	109.8	109.7	99.8	0.0	99.8	1923.1	18.1	0
Sample_15ng_VAF_0p01pc	15ng	0.01	400874	57469	14.336	65	1	64	374	0	0.0027	0.0154	0.0	1.0	0.9846	0.9973	0.0045	1	64	204	0.0049	0.0154	0.0	1.0	0	65	170	0.0	0.0	0.0	1.0	11895	5586	2017	2	3	2040.7	1760.8	1760.8	0.0	1760.9	109.8	109.7	109.8	0.0	99.7	2040.7	20.2	0
Sample_15ng_VAF_0p1pc	15ng	0.1	327917	40412	12.324	57	9	48	366	0	0.024	0.1579	0.0	1.0	0.8421	0.976	0.0417	6	51	199	0.0293	0.1053	0.0	1.0	3	54	167	0.0176	0.0526	0.0	1.0	10814	4609	1423	2	2	1882.0	1630.1	1630.1	0.0	1630.1	109.8	109.8	109.7	0.0	99.8	1882.0	17.4	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413118	57629	13.95	113	59	54	316	0	0.1573	0.5221	0.0	1.0	0.4779	0.8427	0.2418	43	70	162	0.2098	0.3805	0.0	1.0	16	97	154	0.0941	0.1416	0.0	1.0	12049	6068	2490	3	3	2074.3	1774.2	1774.2	0.0	1774.2	109.8	109.7	99.8	0.0	99.8	2074.3	21.3	0
Sample_15ng_VAF_0p5pc	15ng	0.5	328706	36917	11.231	130	81	49	294	0	0.216	0.6231	0.0	1.0	0.3769	0.784	0.3208	59	71	146	0.2878	0.4538	0.0	1.0	22	108	148	0.1294	0.1692	0.0	1.0	10663	4685	2435	2	2	1902.9	1627.6	1627.6	0.0	1627.6	109.7	109.7	109.7	0.0	109.7	1902.9	18.4	0
Sample_15ng_VAF_0pc	15ng	0.0	331556	37132	11.199	43	0	43	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	43	205	0.0	0.0	0.0	1.0	0	43	170	0.0	0.0	0.0	1.0	10690	4711	1808	2	2	1893.5	1629.7	1629.7	0.0	1629.7	109.7	109.8	99.8	0.0	109.7	1893.5	17.8	0
Sample_15ng_VAF_1pc	15ng	1.0	351739	40750	11.585	199	142	57	233	0	0.3787	0.7136	0.0	1.0	0.2864	0.6213	0.4948	105	94	100	0.5122	0.5276	0.0	1.0	37	162	133	0.2176	0.1859	0.0	1.0	11040	4997	1965	3	3	1961.2	1661.0	1661.0	0.0	1661.0	109.8	109.7	109.7	0.0	99.8	1961.2	18.6	0
Sample_15ng_VAF_2pc	15ng	2.0	430388	66552	15.463	312	205	107	170	0	0.5467	0.6571	0.0	1.0	0.3429	0.4533	0.5968	145	167	60	0.7073	0.4647	0.0	1.0	60	252	110	0.3529	0.1923	0.0	1.0	12608	6128	3341	4	4	2086.1	1815.4	1815.4	0.0	1815.5	109.7	109.8	109.7	0.0	99.8	2086.1	22.8	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372016	20642	5.549	43	1	42	374	0	0.0027	0.0233	0.0	1.0	0.9767	0.9973	0.0048	1	42	204	0.0049	0.0233	0.0	1.0	0	43	170	0.0	0.0	0.0	1.0	10855	5746	2002	2	2	1918.6	1641.3	1641.3	0.0	1641.4	109.7	109.7	99.8	0.0	109.7	1918.6	19.2	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523331	47072	8.995	42	2	40	373	0	0.0053	0.0476	0.0	1.0	0.9524	0.9947	0.0096	2	40	203	0.0098	0.0476	0.0	1.0	0	42	170	0.0	0.0	0.0	1.0	13405	8813	5228	3	3	2174.9	1888.2	1888.2	0.0	1888.2	109.8	109.7	109.7	0.0	109.7	2174.9	28.3	0
Sample_30ng_VAF_0p1pc	30ng	0.1	403440	28576	7.083	48	7	41	368	0	0.0187	0.1458	0.0	1.0	0.8542	0.9813	0.0331	6	42	199	0.0293	0.125	0.0	1.0	1	47	169	0.0059	0.0208	0.0	1.0	11340	6160	1866	2	2	2008.5	1701.2	1701.2	0.0	1701.3	109.7	109.7	99.8	0.0	99.7	2008.5	20.1	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362132	21774	6.013	59	30	29	345	0	0.08	0.5085	0.0	1.0	0.4915	0.92	0.1382	20	39	185	0.0976	0.339	0.0	1.0	10	49	160	0.0588	0.1695	0.0	1.0	10826	5395	1712	2	2	1880.2	1629.4	1629.4	0.0	1629.5	109.7	109.7	99.8	0.0	109.7	1880.2	18.5	0
Sample_30ng_VAF_0p5pc	30ng	0.5	416362	31702	7.614	95	64	31	311	0	0.1707	0.6737	0.0	1.0	0.3263	0.8293	0.2723	47	48	158	0.2293	0.4947	0.0	1.0	17	78	153	0.1	0.1789	0.0	1.0	11590	6084	3528	3	2	2011.9	1730.0	1730.0	0.0	1730.1	109.7	109.8	109.7	0.0	99.8	2011.9	22.0	0
Sample_30ng_VAF_0pc	30ng	0.0	389798	26436	6.782	45	0	45	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	45	205	0.0	0.0	0.0	1.0	0	45	170	0.0	0.0	0.0	1.0	11170	5709	2093	2	2	1958.2	1679.5	1679.5	0.0	1679.6	109.8	109.7	99.8	0.0	109.7	1958.2	19.6	0
Sample_30ng_VAF_1pc	30ng	1.0	395140	25633	6.487	135	100	35	275	0	0.2667	0.7407	0.0	1.0	0.2593	0.7333	0.3922	69	66	136	0.3366	0.5111	0.0	1.0	31	104	139	0.1824	0.2296	0.0	1.0	11301	5663	2154	3	3	1952.1	1686.2	1686.2	0.0	1686.2	109.8	109.8	109.8	0.0	109.7	1952.1	19.7	0
