sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349624	34913	9.986	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37133	5290	394	16	0	2475.9	2024.1	2024.0	0.0	2034.9	109.7	109.7	109.7	0.0	99.7	2475.9	43.4	0
Sample_15ng_VAF_0p01pc	15ng	0.01	401271	57430	14.312	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	1	0	374	0.0027	1.0	0.0053	1	0	204	0.0049	0	1	170	0.0	37430	6155	434	16	0	2622.2	2142.1	2142.1	0.0	2153.1	109.8	109.7	99.7	0.0	99.7	2622.2	44.6	0
Sample_15ng_VAF_0p1pc	15ng	0.1	328319	40371	12.296	22	22	0	353	0	0.0587	1.0	0.0	0.0	0.0	0.9413	0.1108	18	4	187	0.0878	0.8182	0.0	1.0	4	18	166	0.0235	0.1818	0.0	1.0	22	0	353	0.0587	1.0	0.1108	18	4	187	0.0878	4	18	166	0.0235	36041	5068	376	17	0	2458.1	2003.9	2003.9	0.0	2014.8	109.8	109.7	109.7	0.0	109.7	2458.1	42.1	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413534	57581	13.924	110	110	0	265	0	0.2933	1.0	0.0	0.0	0.0	0.7067	0.4536	83	27	122	0.4049	0.7545	0.0	1.0	27	83	143	0.1588	0.2455	0.0	1.0	110	0	265	0.2933	1.0	0.4536	83	27	122	0.4049	27	83	143	0.1588	38610	6335	449	17	0	2636.3	2156.2	2156.2	0.0	2167.1	109.8	109.7	99.8	0.0	99.8	2636.3	46.0	0
Sample_15ng_VAF_0p5pc	15ng	0.5	329077	36887	11.209	159	159	0	216	0	0.424	1.0	0.0	0.0	0.0	0.576	0.5955	115	44	90	0.561	0.7233	0.0	1.0	44	115	126	0.2588	0.2767	0.0	1.0	159	0	216	0.424	1.0	0.5955	115	44	90	0.561	44	115	126	0.2588	35306	5084	433	19	0	2478.0	2002.7	2002.7	0.0	2013.9	109.8	109.7	99.8	0.0	99.8	2478.0	41.4	0
Sample_15ng_VAF_0pc	15ng	0.0	331925	37110	11.18	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	1	0	374	0.0027	1.0	0.0053	1	0	204	0.0049	0	1	170	0.0	35231	5127	390	17	0	2466.3	2004.5	2004.5	0.0	2015.6	109.8	109.7	99.8	0.0	99.7	2466.3	41.3	0
Sample_15ng_VAF_1pc	15ng	1.0	352159	40715	11.562	216	216	0	159	0	0.576	1.0	0.0	0.0	0.0	0.424	0.731	156	60	49	0.761	0.7222	0.0	1.0	60	156	110	0.3529	0.2778	0.0	1.0	216	0	159	0.576	1.0	0.731	156	60	49	0.761	60	156	110	0.3529	37029	5321	416	18	0	2513.0	2037.6	2037.6	0.0	2048.5	109.7	109.7	99.8	0.0	99.8	2513.0	43.4	0
Sample_15ng_VAF_2pc	15ng	2.0	430786	66501	15.437	235	235	0	140	0	0.6267	1.0	0.0	0.0	0.0	0.3733	0.7705	168	67	37	0.8195	0.7149	0.0	1.0	67	168	103	0.3941	0.2851	0.0	1.0	235	0	140	0.6267	1.0	0.7705	168	67	37	0.8195	67	168	103	0.3941	39880	6550	535	19	0	2663.5	2198.9	2198.9	0.0	2209.8	109.8	109.7	99.8	0.0	109.7	2663.5	47.6	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372371	20615	5.536	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	2	0	373	0.0053	1.0	0.0106	2	0	203	0.0098	0	2	170	0.0	38278	5971	418	17	0	2526.4	2021.4	2021.4	0.0	2032.5	109.8	109.7	99.7	0.0	109.7	2526.4	45.2	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523686	47035	8.982	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	2	0	373	0.0053	1.0	0.0106	2	0	203	0.0098	0	2	170	0.0	44661	8734	660	17	0	2770.2	2283.2	2283.2	0.0	2294.3	109.8	109.7	109.7	0.0	109.7	2770.2	54.7	0
