sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	311017	34947	11.236	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11662	5856	1081	2	2	1887.6	1597.9	1597.9	0.0	1597.9	109.7	109.7	99.8	0.0	99.8	1887.6	19.3	0
Sample_15ng_VAF_0p01pc	15ng	0.01	338202	57469	16.993	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	12104	5957	1307	2	2	1956.0	1680.6	1680.6	0.0	1680.6	109.8	109.7	109.7	0.0	99.8	1956.0	20.1	0
Sample_15ng_VAF_0p1pc	15ng	0.1	292393	40412	13.821	23	23	0	352	0	0.0613	1.0	0.0	0.0	0.0	0.9387	0.1156	19	4	186	0.0927	0.8261	0.0	1.0	4	19	166	0.0235	0.1739	0.0	1.0	11498	5998	1145	3	2	1856.7	1584.7	1584.7	0.0	1584.8	109.7	109.7	99.7	0.0	99.8	1856.7	19.3	0
Sample_15ng_VAF_0p25pc	15ng	0.25	345900	57629	16.661	98	98	0	277	0	0.2613	1.0	0.0	0.0	0.0	0.7387	0.4144	75	23	130	0.3659	0.7653	0.0	1.0	23	75	147	0.1353	0.2347	0.0	1.0	12554	6900	1322	3	3	1963.5	1688.1	1688.1	0.0	1688.1	109.8	109.8	99.8	0.0	99.8	1963.5	21.5	0
Sample_15ng_VAF_0p5pc	15ng	0.5	293897	36917	12.561	150	150	0	225	0	0.4	1.0	0.0	0.0	0.0	0.6	0.5714	108	42	97	0.5268	0.72	0.0	1.0	42	108	128	0.2471	0.28	0.0	1.0	10741	5172	1301	3	3	1835.8	1583.0	1583.0	0.0	1583.0	109.7	109.7	99.8	0.0	99.7	1835.8	17.8	0
Sample_15ng_VAF_0pc	15ng	0.0	296575	37132	12.52	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11090	5428	1201	2	2	1857.6	1584.9	1584.9	0.0	1584.9	109.7	109.7	99.8	0.0	99.8	1857.6	18.4	0
Sample_15ng_VAF_1pc	15ng	1.0	310302	40750	13.132	208	208	0	167	0	0.5547	1.0	0.0	0.0	0.0	0.4453	0.7136	150	58	55	0.7317	0.7212	0.0	1.0	58	150	112	0.3412	0.2788	0.0	1.0	11388	5400	1127	10	2	1881.0	1607.9	1607.9	0.0	1607.9	109.7	109.7	99.8	0.0	109.7	1881.0	18.6	0
Sample_15ng_VAF_2pc	15ng	2.0	351341	66552	18.942	230	230	0	145	0	0.6133	1.0	0.0	0.0	0.0	0.3867	0.7603	164	66	41	0.8	0.713	0.0	1.0	66	164	104	0.3882	0.287	0.0	1.0	12611	6357	1852	4	3	1983.4	1714.1	1714.1	0.0	1714.2	109.7	109.8	99.8	0.0	99.7	1983.4	21.6	0
Sample_30ng_VAF_0p001pc	30ng	0.001	334771	20642	6.166	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	11196	6273	1209	2	2	1867.7	1593.6	1593.6	0.0	1593.6	109.7	109.7	99.8	0.0	109.7	1867.7	19.4	0
Sample_30ng_VAF_0p01pc	30ng	0.01	416834	47072	11.293	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	13149	8359	2258	3	2	2018.4	1751.9	1751.9	0.0	1751.9	109.7	109.7	109.7	0.0	109.7	2018.4	24.6	0
Sample_30ng_VAF_0p1pc	30ng	0.1	355944	28576	8.028	29	29	0	346	0	0.0773	1.0	0.0	0.0	0.0	0.9227	0.1436	25	4	180	0.122	0.8621	0.0	1.0	4	25	166	0.0235	0.1379	0.0	1.0	11628	6899	1229	2	1	1904.4	1640.4	1640.4	0.0	1640.4	109.8	109.7	99.8	0.0	109.7	1904.4	20.5	0
Sample_30ng_VAF_0p25pc	30ng	0.25	326595	21774	6.667	107	107	0	268	0	0.2853	1.0	0.0	0.0	0.0	0.7147	0.444	79	28	126	0.3854	0.7383	0.0	1.0	28	79	142	0.1647	0.2617	0.0	1.0	11306	6449	1098	2	2	1849.2	1583.8	1583.8	0.0	1583.8	109.8	109.7	109.7	0.0	99.7	1849.2	19.6	0
Sample_30ng_VAF_0p5pc	30ng	0.5	362040	31702	8.756	173	173	0	202	0	0.4613	1.0	0.0	0.0	0.0	0.5387	0.6314	125	48	80	0.6098	0.7225	0.0	1.0	48	125	122	0.2824	0.2775	0.0	1.0	11563	7451	1590	3	2	1963.3	1660.4	1660.4	0.0	1660.4	109.8	109.7	109.8	0.0	99.8	1963.3	21.4	0
Sample_30ng_VAF_0pc	30ng	0.0	346643	26436	7.626	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	11591	6577	1378	3	2	1899.9	1624.2	1624.2	0.0	1624.3	109.7	109.7	109.7	0.0	99.8	1899.9	20.3	0
Sample_30ng_VAF_1pc	30ng	1.0	349652	25633	7.331	212	212	0	163	0	0.5653	1.0	0.0	0.0	0.0	0.4347	0.7223	152	60	53	0.7415	0.717	0.0	1.0	60	152	110	0.3529	0.283	0.0	1.0	11397	6774	1261	3	2	1904.4	1628.0	1628.0	0.0	1628.0	109.8	109.7	99.8	0.0	109.7	1904.4	20.0	0
