precision,recall,f1,auprc,auroc,model,fold,config
0.0005122950819672131,0.5714285714285714,0.0010236724248240564,0.0003645430194814749,0.6752713581243288,lightgbm,0,lightgbm_raw
0.0002596559558584875,0.6666666666666666,0.0005191097268185062,0.00024490866181215267,0.5568077533855226,lightgbm,1,lightgbm_raw
0.0,0.0,0.0,0.00016748014164034836,0.49460384311660965,lightgbm,2,lightgbm_raw
6.924728204417977e-05,0.2,0.00013844662882458813,0.00010953636883138937,0.42726446241446964,lightgbm,3,lightgbm_raw
0.0005184033177812338,0.6666666666666666,0.001036001036001036,0.00036953682249787716,0.7869267747790875,lightgbm,4,lightgbm_raw
0.00018562223223992998,1.0,0.0003711755660427382,0.00018562223223992998,0.5487145114185857,lightgbm,0,lightgbm_v2
0.0015527950310559005,0.6666666666666666,0.003098373353989156,0.001107001378610428,0.7830871497769584,lightgbm,1,lightgbm_v2
0.0004972650422675286,0.7142857142857143,0.0009938382031405286,0.00040304078494547707,0.7343747329269836,lightgbm,2,lightgbm_v2
0.0,0.0,0.0,0.00011960864052819176,0.5,lightgbm,3,lightgbm_v2
0.0001038961038961039,1.0,0.00020777062123415748,0.0001038961038961039,0.6544551493028544,lightgbm,4,lightgbm_v2
0.001445086705202312,0.14285714285714285,0.002861230329041488,0.0010926573898140232,0.8722650452434528,xgboost,0,xgboost_raw
0.003341687552213868,0.2222222222222222,0.006584362139917695,0.0022691763238055418,0.8165965755082606,xgboost,1,xgboost_raw
0.002150537634408602,0.14285714285714285,0.00423728813559322,0.002456371030714303,0.9636763604913119,xgboost,2,xgboost_raw
0.0014336917562724014,0.2,0.0028469750889679717,0.001742748487559837,0.7276735728982248,xgboost,3,xgboost_raw
0.0,0.0,0.0,0.0007809796300606794,0.9353619372469233,xgboost,4,xgboost_raw
0.027777777777777776,0.14285714285714285,0.046511627906976744,0.029301644607650012,0.9764361291028596,xgboost,0,xgboost_v2
0.075,0.3333333333333333,0.12244897959183673,0.03396953780504049,0.9287637090059824,xgboost,1,xgboost_v2
0.043478260869565216,0.14285714285714285,0.06666666666666667,0.031072157523058676,0.9847909395158672,xgboost,2,xgboost_v2
0.07142857142857142,0.2,0.10526315789473684,0.020368601995059712,0.8657974065744773,xgboost,3,xgboost_v2
0.0,0.0,0.0,0.01750980244970887,0.9922007460155985,xgboost,4,xgboost_v2
0.0006807351940095302,0.07142857142857142,0.0013486176668914363,0.0002041970498225649,0.5269289168245457,baseline_pass,0,baseline_pass
0.0014587892049598833,0.1111111111111111,0.0028797696184305254,0.00035356686607952747,0.5473620720382828,baseline_pass,1,baseline_pass
0.0,0.0,0.0,0.00016748014164034836,0.49183397544808444,baseline_pass,2,baseline_pass
0.0,0.0,0.0,0.00011960864052819176,0.4912914493516436,baseline_pass,3,baseline_pass
0.0,0.0,0.0,7.180383193116406e-05,0.49149661899347735,baseline_pass,4,baseline_pass
