auroc,auprc,precision,recall,f1,n_pos,n_total,model,fold
0.8508536833787286,0.6547375194884519,0.3544414999466107,0.6968358174774327,0.46988083594996655,104798,1178381,lightgbm_twist_duplex,0
0.8515262813472955,0.6579737187826008,0.3541606986092501,0.7072169323885444,0.4719685727831928,108384,1178381,lightgbm_twist_duplex,1
0.8539826324915085,0.6616215579557562,0.3486448663315769,0.7140395178235706,0.4685233282033761,108508,1178383,lightgbm_twist_duplex,2
0.8515803961796846,0.6556464466369929,0.3545452819982348,0.6979561716516898,0.4702265575833858,107054,1178383,lightgbm_twist_duplex,3
0.8526631454917015,0.6534367816211155,0.3600242324002577,0.7005725833614012,0.4756248610537682,106884,1178380,lightgbm_twist_duplex,4
0.8502538718407557,0.6550388638023187,0.35429321552784804,0.6979236244966507,0.46999742963629354,104798,1178381,xgboost_twist_duplex,0
0.8510860455558317,0.6578863372813827,0.357974557853717,0.7051686595807499,0.4748794611790436,108384,1178381,xgboost_twist_duplex,1
0.8538340668913708,0.6615113430722499,0.3498023000153817,0.712583403988646,0.46925201031709907,108508,1178383,xgboost_twist_duplex,2
0.8517690195310652,0.6565193361725497,0.3559226733630988,0.6977319857268295,0.47138525229003175,107054,1178383,xgboost_twist_duplex,3
0.8516887559787318,0.6529178989481598,0.35898308170706583,0.7009748886643464,0.474807742884031,106884,1178380,xgboost_twist_duplex,4
