sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349269	34947	10.006	99	0	99	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	99	205	0.0	0.0	0.0	1.0	0	99	170	0.0	0.0	0.0	1.0	11337	4870	1549	2	2	1947.0	1646.9	1646.9	0.0	1646.9	109.8	109.8	99.8	0.0	109.2	1947.0	18.3	0
Sample_15ng_VAF_0p01pc	15ng	0.01	400874	57469	14.336	104	2	102	373	0	0.0053	0.0192	0.0	1.0	0.9808	0.9947	0.0084	2	102	203	0.0098	0.0192	0.0	1.0	0	104	170	0.0	0.0	0.0	1.0	12119	5415	1979	2	2	2023.2	1760.9	1760.9	0.0	1760.9	109.7	109.7	99.8	0.0	99.8	2023.2	20.2	0
Sample_15ng_VAF_0p1pc	15ng	0.1	327917	40412	12.324	116	23	93	352	0	0.0613	0.1983	0.0	1.0	0.8017	0.9387	0.0937	19	97	186	0.0927	0.1638	0.0	1.0	4	112	166	0.0235	0.0345	0.0	1.0	11054	4567	1435	2	2	1904.6	1630.1	1630.1	0.0	1630.2	109.8	109.7	99.8	0.0	99.8	1904.6	17.6	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413118	57629	13.95	206	106	100	269	0	0.2827	0.5146	0.0	1.0	0.4854	0.7173	0.3649	80	126	125	0.3902	0.3883	0.0	1.0	26	180	144	0.1529	0.1262	0.0	1.0	12426	5801	2498	3	3	2040.1	1774.2	1774.2	0.0	1774.3	109.8	109.7	99.8	0.0	99.8	2040.1	21.5	0
Sample_15ng_VAF_0p5pc	15ng	0.5	328706	36917	11.231	259	156	103	219	0	0.416	0.6023	0.0	1.0	0.3977	0.584	0.4921	113	146	92	0.5512	0.4363	0.0	1.0	43	216	127	0.2529	0.166	0.0	1.0	10906	4627	2442	2	3	1887.9	1627.6	1627.6	0.0	1627.7	109.8	109.7	109.7	0.0	99.8	1887.9	18.6	0
Sample_15ng_VAF_0pc	15ng	0.0	331556	37132	11.199	95	1	94	374	0	0.0027	0.0105	0.0	1.0	0.9895	0.9973	0.0043	1	94	204	0.0049	0.0105	0.0	1.0	0	95	170	0.0	0.0	0.0	1.0	10984	5442	1832	2	2	1904.7	1629.6	1629.6	0.0	1629.6	109.7	99.8	109.7	0.0	99.8	1904.7	18.9	0
Sample_15ng_VAF_1pc	15ng	1.0	351739	40750	11.585	313	211	102	164	0	0.5627	0.6741	0.0	1.0	0.3259	0.4373	0.6134	152	161	53	0.7415	0.4856	0.0	1.0	59	254	111	0.3471	0.1885	0.0	1.0	11299	5036	2024	3	3	1924.9	1661.0	1661.0	0.0	1661.1	109.7	109.7	109.7	0.0	99.8	1924.9	19.0	0
Sample_15ng_VAF_2pc	15ng	2.0	430388	66552	15.463	405	230	175	145	0	0.6133	0.5679	0.0	1.0	0.4321	0.3867	0.5897	164	241	41	0.8	0.4049	0.0	1.0	66	339	104	0.3882	0.163	0.0	1.0	12788	6007	3330	4	3	2096.8	1815.4	1815.4	0.0	1815.4	109.7	109.7	109.7	0.0	109.7	2096.8	22.9	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372016	20642	5.549	105	3	102	372	0	0.008	0.0286	0.0	1.0	0.9714	0.992	0.0125	3	102	202	0.0146	0.0286	0.0	1.0	0	105	170	0.0	0.0	0.0	1.0	11089	5581	1921	2	2	1918.0	1641.2	1641.2	0.0	1641.3	109.7	109.8	109.8	0.0	99.8	1918.0	19.2	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523331	47072	8.995	94	4	90	371	0	0.0107	0.0426	0.0	1.0	0.9574	0.9893	0.0171	4	90	201	0.0195	0.0426	0.0	1.0	0	94	170	0.0	0.0	0.0	1.0	13504	7832	5281	3	3	2174.9	1888.2	1888.2	0.0	1888.2	109.7	109.7	109.7	0.0	109.8	2174.9	27.5	0
Sample_30ng_VAF_0p1pc	30ng	0.1	403440	28576	7.083	123	30	93	345	0	0.08	0.2439	0.0	1.0	0.7561	0.92	0.1205	27	96	178	0.1317	0.2195	0.0	1.0	3	120	167	0.0176	0.0244	0.0	1.0	11605	6031	1893	2	2	1978.2	1701.2	1701.2	0.0	1701.2	109.7	109.7	109.7	0.0	109.7	1978.2	20.3	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362132	21774	6.013	197	107	90	268	0	0.2853	0.5431	0.0	1.0	0.4569	0.7147	0.3741	78	119	127	0.3805	0.3959	0.0	1.0	29	168	141	0.1706	0.1472	0.0	1.0	11046	5393	1694	2	2	1929.9	1629.4	1629.4	0.0	1629.4	109.8	109.7	109.7	0.0	99.8	1929.9	18.7	0
Sample_30ng_VAF_0p5pc	30ng	0.5	416362	31702	7.614	274	182	92	193	0	0.4853	0.6642	0.0	1.0	0.3358	0.5147	0.5609	131	143	74	0.639	0.4781	0.0	1.0	51	223	119	0.3	0.1861	0.0	1.0	11847	6240	3764	3	3	2040.3	1730.0	1730.0	0.0	1730.0	109.8	109.7	99.8	0.0	109.7	2040.3	22.6	0
Sample_30ng_VAF_0pc	30ng	0.0	389798	26436	6.782	104	0	104	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	104	205	0.0	0.0	0.0	1.0	0	104	170	0.0	0.0	0.0	1.0	11499	5731	2201	2	2	1958.2	1679.5	1679.5	0.0	1679.5	109.8	109.7	99.8	0.0	109.7	1958.2	20.2	0
Sample_30ng_VAF_1pc	30ng	1.0	395140	25633	6.487	313	216	97	159	0	0.576	0.6901	0.0	1.0	0.3099	0.424	0.6279	156	157	49	0.761	0.4984	0.0	1.0	60	253	110	0.3529	0.1917	0.0	1.0	11510	5839	2197	3	3	1952.2	1686.3	1686.3	1686.3	1686.3	109.7	109.7	109.7	99.8	99.8	1952.2	20.3	0
Sample_30ng_VAF_2pc	30ng	2.0	397613	26230	6.597	316	224	92	151	0	0.5973	0.7089	0.0	1.0	0.2911	0.4027	0.6483	160	156	45	0.7805	0.5063	0.0	1.0	64	252	106	0.3765	0.2025	0.0	1.0	11555	6009	2491	3	3	1978.4	1690.8	1690.8	0.0	1690.9	109.7	109.7	109.8	0.0	99.8	1978.4	20.8	0
Sample_5ng_VAF_0p001pc	5ng	0.001	631001	32088	5.085	49	0	49	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	49	205	0.0	0.0	0.0	1.0	0	49	170	0.0	0.0	0.0	1.0	18507	5590	662	1	1	2292.4	1997.9	1997.9	0.0	1998.1	109.8	109.7	99.8	0.0	99.7	2292.4	25.5	0
Sample_5ng_VAF_0p01pc	5ng	0.01	683075	31531	4.616	57	0	57	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	57	205	0.0	0.0	0.0	1.0	0	57	170	0.0	0.0	0.0	1.0	19899	5994	589	1	1	2391.0	2067.4	2067.4	0.0	2067.4	109.8	109.7	99.8	0.0	109.7	2391.0	27.2	0
Sample_5ng_VAF_0p1pc	5ng	0.1	637192	33282	5.223	90	4	83	371	0	0.0107	0.046	0.0	1.0	0.954	0.9893	0.0173	4	83	201	0.0195	0.046	0.0	1.0	0	87	170	0.0	0.0	0.0	1.0	19178	5693	889	1	2	2342.3	2013.2	2013.2	2013.2	2013.2	109.7	109.7	99.8	99.8	99.8	2342.3	26.5	0
Sample_5ng_VAF_0p25pc	5ng	0.25	625832	37306	5.961	104	27	77	348	0	0.072	0.2596	0.0	1.0	0.7404	0.928	0.1127	18	86	187	0.0878	0.1731	0.0	1.0	9	95	161	0.0529	0.0865	0.0	1.0	18466	5871	658	2	1	2341.1	2003.6	2003.6	0.0	2003.7	109.7	109.7	99.8	0.0	109.7	2341.1	25.7	0
Sample_5ng_VAF_0p5pc	5ng	0.5	643392	32167	5.0	136	70	66	305	0	0.1867	0.5147	0.0	1.0	0.4853	0.8133	0.274	51	85	154	0.2488	0.375	0.0	1.0	19	117	151	0.1118	0.1397	0.0	1.0	18842	6072	724	2	1	2311.5	2015.7	2015.7	0.0	2015.8	109.8	109.7	99.8	0.0	99.8	2311.5	26.3	0
Sample_5ng_VAF_0pc	5ng	0.0	645431	22299	3.455	59	0	59	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	59	205	0.0	0.0	0.0	1.0	0	59	170	0.0	0.0	0.0	1.0	18895	5732	486	1	1	2318.6	1997.9	1997.9	0.0	1998.0	109.8	109.7	99.8	0.0	99.8	2318.6	25.8	0
Sample_5ng_VAF_1pc	5ng	1.0	609276	33116	5.435	222	147	75	228	0	0.392	0.6622	0.0	1.0	0.3378	0.608	0.4925	107	115	98	0.522	0.482	0.0	1.0	40	182	130	0.2353	0.1802	0.0	1.0	17997	5462	749	2	1	2265.3	1972.2	1972.2	0.0	1972.3	109.8	109.7	99.8	0.0	109.7	2265.3	24.9	0
Sample_5ng_VAF_2pc	5ng	2.0	625510	29680	4.745	256	196	60	179	0	0.5227	0.7656	0.0	1.0	0.2344	0.4773	0.6212	142	114	63	0.6927	0.5547	0.0	1.0	54	202	116	0.3176	0.2109	0.0	1.0	17858	5398	641	2	1	2325.7	1988.2	1988.2	0.0	1988.2	109.8	109.7	99.8	0.0	109.7	2325.7	24.6	0
